"Source","InstalledOn","HotFixID","Description","InstalledBy"
"Server84","12/21/2019 12:00:00 AM","MSKB4591661","Security Update","NT AUTHORITY\SYSTEM"
"Server84","12/21/2019 12:00:00 AM","MSKB2864711","Update","NT AUTHORITY\SYSTEM"
"Server84","12/21/2019 12:00:00 AM","MSKB7353147","Security Update","NT AUTHORITY\SYSTEM"
"Server84","12/21/2019 12:00:00 AM","MSKB2739237","Update","NT AUTHORITY\SYSTEM"
"Server85","12/21/2019 12:00:00 AM","MSKB6453717","Security Update","NT AUTHORITY\SYSTEM"
"Server85","12/21/2019 12:00:00 AM","MSKB1600115","Update","NT AUTHORITY\SYSTEM"
"Server85","12/21/2019 12:00:00 AM","MSKB2652715","Update","NT AUTHORITY\SYSTEM"
"Server86","12/21/2019 12:00:00 AM","MSKB5594254","Security Update","NT AUTHORITY\SYSTEM"
"Server86","12/21/2019 12:00:00 AM","MSKB8311055","Update","NT AUTHORITY\SYSTEM"
"Server86","12/21/2019 12:00:00 AM","MSKB8043399","Security Update","NT AUTHORITY\SYSTEM"
"Server86","12/21/2019 12:00:00 AM","MSKB9839887","Security Update","NT AUTHORITY\SYSTEM"
"Server88","12/21/2019 12:00:00 AM","MSKB1263278","Security Update","NT AUTHORITY\SYSTEM"
"Server89","12/21/2019 12:00:00 AM","MSKB6461494","Update","NT AUTHORITY\SYSTEM"
"Server89","12/21/2019 12:00:00 AM","MSKB1861659","Security Update","NT AUTHORITY\SYSTEM"
"Server90","12/21/2019 12:00:00 AM","MSKB3453646","Update","NT AUTHORITY\SYSTEM"
"Server90","12/21/2019 12:00:00 AM","MSKB4982738","Update","NT AUTHORITY\SYSTEM"
"Server90","12/21/2019 12:00:00 AM","MSKB8586789","Security Update","NT AUTHORITY\SYSTEM"
"Server92","12/21/2019 12:00:00 AM","MSKB5428758","Security Update","NT AUTHORITY\SYSTEM"
"Server92","12/21/2019 12:00:00 AM","MSKB5335907","Security Update","NT AUTHORITY\SYSTEM"
"Server92","12/21/2019 12:00:00 AM","MSKB1357567","Update","NT AUTHORITY\SYSTEM"
"Server94","12/21/2019 12:00:00 AM","MSKB8916816","Security Update","NT AUTHORITY\SYSTEM"
"Server96","12/21/2019 12:00:00 AM","MSKB9480311","Security Update","NT AUTHORITY\SYSTEM"
"Server97","12/21/2019 12:00:00 AM","MSKB2016831","Security Update","NT AUTHORITY\SYSTEM"
"Server97","12/21/2019 12:00:00 AM","MSKB1245840","Update","NT AUTHORITY\SYSTEM"
"Server97","12/21/2019 12:00:00 AM","MSKB1778464","Security Update","NT AUTHORITY\SYSTEM"
"Server97","12/21/2019 12:00:00 AM","MSKB7379851","Security Update","NT AUTHORITY\SYSTEM"
"Server99","12/21/2019 12:00:00 AM","MSKB5445907","Security Update","NT AUTHORITY\SYSTEM"
"Server99","12/21/2019 12:00:00 AM","MSKB1700340","Security Update","NT AUTHORITY\SYSTEM"
"Server1","12/28/2019 12:00:00 AM","MSKB4151116","Security Update","NT AUTHORITY\SYSTEM"
"Server1","12/28/2019 12:00:00 AM","MSKB4869541","Update","NT AUTHORITY\SYSTEM"
"Server1","12/28/2019 12:00:00 AM","MSKB3362764","Security Update","NT AUTHORITY\SYSTEM"
"Server4","12/28/2019 12:00:00 AM","MSKB5438412","Security Update","NT AUTHORITY\SYSTEM"
"Server4","12/28/2019 12:00:00 AM","MSKB4461474","Update","NT AUTHORITY\SYSTEM"
"Server4","12/28/2019 12:00:00 AM","MSKB3986893","Update","NT AUTHORITY\SYSTEM"
"Server4","12/28/2019 12:00:00 AM","MSKB8187189","Security Update","NT AUTHORITY\SYSTEM"
"Server5","12/28/2019 12:00:00 AM","MSKB7247308","Update","NT AUTHORITY\SYSTEM"
"Server5","12/28/2019 12:00:00 AM","MSKB9889134","Update","NT AUTHORITY\SYSTEM"
"Server5","12/28/2019 12:00:00 AM","MSKB5073485","Security Update","NT AUTHORITY\SYSTEM"
"Server8","12/28/2019 12:00:00 AM","MSKB6763189","Security Update","NT AUTHORITY\SYSTEM"
"Server8","12/28/2019 12:00:00 AM","MSKB8024396","Security Update","NT AUTHORITY\SYSTEM"
"Server9","12/28/2019 12:00:00 AM","MSKB9488181","Security Update","NT AUTHORITY\SYSTEM"
"Server9","12/28/2019 12:00:00 AM","MSKB5416124","Security Update","NT AUTHORITY\SYSTEM"
"Server9","12/28/2019 12:00:00 AM","MSKB1457465","Update","NT AUTHORITY\SYSTEM"
"Server10","12/28/2019 12:00:00 AM","MSKB4094748","Update","NT AUTHORITY\SYSTEM"
"Server12","12/28/2019 12:00:00 AM","MSKB4125712","Security Update","NT AUTHORITY\SYSTEM"
"Server12","12/28/2019 12:00:00 AM","MSKB7751842","Update","NT AUTHORITY\SYSTEM"
"Server14","12/28/2019 12:00:00 AM","MSKB9173285","Update","NT AUTHORITY\SYSTEM"
"Server14","12/28/2019 12:00:00 AM","MSKB8559889","Security Update","NT AUTHORITY\SYSTEM"
"Server14","12/28/2019 12:00:00 AM","MSKB1084774","Security Update","NT AUTHORITY\SYSTEM"
"Server16","12/28/2019 12:00:00 AM","MSKB5713239","Security Update","NT AUTHORITY\SYSTEM"
"Server17","12/28/2019 12:00:00 AM","MSKB3322509","Security Update","NT AUTHORITY\SYSTEM"
"Server17","12/28/2019 12:00:00 AM","MSKB8543462","Update","NT AUTHORITY\SYSTEM"
"Server18","12/28/2019 12:00:00 AM","MSKB6941473","Security Update","NT AUTHORITY\SYSTEM"
"Server18","12/28/2019 12:00:00 AM","MSKB8223989","Security Update","NT AUTHORITY\SYSTEM"
"Server20","12/28/2019 12:00:00 AM","MSKB9340318","Update","NT AUTHORITY\SYSTEM"
"Server21","12/28/2019 12:00:00 AM","MSKB2825610","Security Update","NT AUTHORITY\SYSTEM"
"Server21","12/28/2019 12:00:00 AM","MSKB8199957","Update","NT AUTHORITY\SYSTEM"
"Server21","12/28/2019 12:00:00 AM","MSKB5452326","Security Update","NT AUTHORITY\SYSTEM"
"Server23","12/28/2019 12:00:00 AM","MSKB3142456","Security Update","NT AUTHORITY\SYSTEM"
"Server24","12/28/2019 12:00:00 AM","MSKB5737863","Update","NT AUTHORITY\SYSTEM"
"Server28","12/28/2019 12:00:00 AM","MSKB7626616","Update","NT AUTHORITY\SYSTEM"
"Server28","12/28/2019 12:00:00 AM","MSKB2810423","Security Update","NT AUTHORITY\SYSTEM"
"Server28","12/28/2019 12:00:00 AM","MSKB3286331","Security Update","NT AUTHORITY\SYSTEM"
"Server28","12/28/2019 12:00:00 AM","MSKB1606993","Security Update","NT AUTHORITY\SYSTEM"
"Server29","12/28/2019 12:00:00 AM","MSKB7472869","Update","NT AUTHORITY\SYSTEM"
"Server29","12/28/2019 12:00:00 AM","MSKB2282348","Update","NT AUTHORITY\SYSTEM"
"Server29","12/28/2019 12:00:00 AM","MSKB7129630","Security Update","NT AUTHORITY\SYSTEM"
"Server29","12/28/2019 12:00:00 AM","MSKB5919846","Security Update","NT AUTHORITY\SYSTEM"
"Server30","12/28/2019 12:00:00 AM","MSKB5788401","Update","NT AUTHORITY\SYSTEM"
"Server30","12/28/2019 12:00:00 AM","MSKB6447741","Security Update","NT AUTHORITY\SYSTEM"
"Server30","12/28/2019 12:00:00 AM","MSKB4426392","Security Update","NT AUTHORITY\SYSTEM"
"Server30","12/28/2019 12:00:00 AM","MSKB3184235","Security Update","NT AUTHORITY\SYSTEM"
"Server31","12/28/2019 12:00:00 AM","MSKB8133865","Security Update","NT AUTHORITY\SYSTEM"
"Server33","12/28/2019 12:00:00 AM","MSKB1465321","Security Update","NT AUTHORITY\SYSTEM"
"Server33","12/28/2019 12:00:00 AM","MSKB9730431","Security Update","NT AUTHORITY\SYSTEM"
"Server34","12/28/2019 12:00:00 AM","MSKB3115259","Update","NT AUTHORITY\SYSTEM"
"Server34","12/28/2019 12:00:00 AM","MSKB7644681","Security Update","NT AUTHORITY\SYSTEM"
"Server35","12/28/2019 12:00:00 AM","MSKB7959550","Security Update","NT AUTHORITY\SYSTEM"
"Server35","12/28/2019 12:00:00 AM","MSKB7209246","Update","NT AUTHORITY\SYSTEM"
"Server35","12/28/2019 12:00:00 AM","MSKB9729867","Update","NT AUTHORITY\SYSTEM"
"Server36","12/28/2019 12:00:00 AM","MSKB7029786","Update","NT AUTHORITY\SYSTEM"
"Server36","12/28/2019 12:00:00 AM","MSKB8219163","Security Update","NT AUTHORITY\SYSTEM"
"Server37","12/28/2019 12:00:00 AM","MSKB3915376","Security Update","NT AUTHORITY\SYSTEM"
"Server37","12/28/2019 12:00:00 AM","MSKB7634123","Update","NT AUTHORITY\SYSTEM"
"Server37","12/28/2019 12:00:00 AM","MSKB1844283","Update","NT AUTHORITY\SYSTEM"
"Server37","12/28/2019 12:00:00 AM","MSKB2563489","Update","NT AUTHORITY\SYSTEM"
"Server38","12/28/2019 12:00:00 AM","MSKB7705660","Security Update","NT AUTHORITY\SYSTEM"
"Server38","12/28/2019 12:00:00 AM","MSKB8277078","Security Update","NT AUTHORITY\SYSTEM"
"Server38","12/28/2019 12:00:00 AM","MSKB7193579","Update","NT AUTHORITY\SYSTEM"
"Server38","12/28/2019 12:00:00 AM","MSKB1678119","Update","NT AUTHORITY\SYSTEM"
"Server40","12/28/2019 12:00:00 AM","MSKB3666616","Update","NT AUTHORITY\SYSTEM"
"Server40","12/28/2019 12:00:00 AM","MSKB4655881","Security Update","NT AUTHORITY\SYSTEM"
"Server40","12/28/2019 12:00:00 AM","MSKB5383809","Security Update","NT AUTHORITY\SYSTEM"
"Server40","12/28/2019 12:00:00 AM","MSKB6822171","Security Update","NT AUTHORITY\SYSTEM"
"Server41","12/28/2019 12:00:00 AM","MSKB9776628","Update","NT AUTHORITY\SYSTEM"
"Server41","12/28/2019 12:00:00 AM","MSKB4988465","Update","NT AUTHORITY\SYSTEM"
"Server41","12/28/2019 12:00:00 AM","MSKB1941293","Security Update","NT AUTHORITY\SYSTEM"
"Server43","12/28/2019 12:00:00 AM","MSKB9021650","Update","NT AUTHORITY\SYSTEM"
"Server43","12/28/2019 12:00:00 AM","MSKB2527640","Security Update","NT AUTHORITY\SYSTEM"
"Server44","12/28/2019 12:00:00 AM","MSKB8819477","Security Update","NT AUTHORITY\SYSTEM"
"Server46","12/28/2019 12:00:00 AM","MSKB1680102","Security Update","NT AUTHORITY\SYSTEM"
"Server48","12/28/2019 12:00:00 AM","MSKB9568132","Security Update","NT AUTHORITY\SYSTEM"
"Server48","12/28/2019 12:00:00 AM","MSKB7894906","Security Update","NT AUTHORITY\SYSTEM"
"Server48","12/28/2019 12:00:00 AM","MSKB4888135","Security Update","NT AUTHORITY\SYSTEM"
"Server49","12/28/2019 12:00:00 AM","MSKB3472639","Security Update","NT AUTHORITY\SYSTEM"
"Server49","12/28/2019 12:00:00 AM","MSKB1595001","Update","NT AUTHORITY\SYSTEM"
"Server49","12/28/2019 12:00:00 AM","MSKB8754172","Update","NT AUTHORITY\SYSTEM"
"Server49","12/28/2019 12:00:00 AM","MSKB3249726","Security Update","NT AUTHORITY\SYSTEM"
"Server50","12/28/2019 12:00:00 AM","MSKB4551087","Update","NT AUTHORITY\SYSTEM"
"Server50","12/28/2019 12:00:00 AM","MSKB2980719","Update","NT AUTHORITY\SYSTEM"
"Server50","12/28/2019 12:00:00 AM","MSKB4116742","Security Update","NT AUTHORITY\SYSTEM"
"Server50","12/28/2019 12:00:00 AM","MSKB5330914","Security Update","NT AUTHORITY\SYSTEM"
"Server53","12/28/2019 12:00:00 AM","MSKB6616418","Security Update","NT AUTHORITY\SYSTEM"
"Server53","12/28/2019 12:00:00 AM","MSKB7065486","Security Update","NT AUTHORITY\SYSTEM"
"Server53","12/28/2019 12:00:00 AM","MSKB4164423","Update","NT AUTHORITY\SYSTEM"
"Server54","12/28/2019 12:00:00 AM","MSKB9263825","Update","NT AUTHORITY\SYSTEM"
"Server54","12/28/2019 12:00:00 AM","MSKB6602299","Security Update","NT AUTHORITY\SYSTEM"
"Server54","12/28/2019 12:00:00 AM","MSKB1544146","Security Update","NT AUTHORITY\SYSTEM"
"Server56","12/28/2019 12:00:00 AM","MSKB2262789","Security Update","NT AUTHORITY\SYSTEM"
"Server56","12/28/2019 12:00:00 AM","MSKB4185733","Update","NT AUTHORITY\SYSTEM"
"Server56","12/28/2019 12:00:00 AM","MSKB2218022","Update","NT AUTHORITY\SYSTEM"
"Server57","12/28/2019 12:00:00 AM","MSKB3780709","Update","NT AUTHORITY\SYSTEM"
"Server58","12/28/2019 12:00:00 AM","MSKB7059066","Update","NT AUTHORITY\SYSTEM"
"Server58","12/28/2019 12:00:00 AM","MSKB9490345","Update","NT AUTHORITY\SYSTEM"
"Server58","12/28/2019 12:00:00 AM","MSKB7949875","Update","NT AUTHORITY\SYSTEM"
"Server58","12/28/2019 12:00:00 AM","MSKB3992690","Security Update","NT AUTHORITY\SYSTEM"
"Server59","12/28/2019 12:00:00 AM","MSKB9718365","Update","NT AUTHORITY\SYSTEM"
"Server59","12/28/2019 12:00:00 AM","MSKB3766956","Security Update","NT AUTHORITY\SYSTEM"
"Server59","12/28/2019 12:00:00 AM","MSKB9985563","Update","NT AUTHORITY\SYSTEM"
"Server60","12/28/2019 12:00:00 AM","MSKB7336193","Update","NT AUTHORITY\SYSTEM"
"Server61","12/28/2019 12:00:00 AM","MSKB1895659","Update","NT AUTHORITY\SYSTEM"
"Server64","12/28/2019 12:00:00 AM","MSKB8542715","Security Update","NT AUTHORITY\SYSTEM"
"Server64","12/28/2019 12:00:00 AM","MSKB9871643","Update","NT AUTHORITY\SYSTEM"
"Server64","12/28/2019 12:00:00 AM","MSKB3296585","Security Update","NT AUTHORITY\SYSTEM"
"Server66","12/28/2019 12:00:00 AM","MSKB1420422","Update","NT AUTHORITY\SYSTEM"
"Server66","12/28/2019 12:00:00 AM","MSKB5717550","Update","NT AUTHORITY\SYSTEM"
"Server66","12/28/2019 12:00:00 AM","MSKB9252398","Update","NT AUTHORITY\SYSTEM"
"Server67","12/28/2019 12:00:00 AM","MSKB2826812","Update","NT AUTHORITY\SYSTEM"
"Server67","12/28/2019 12:00:00 AM","MSKB4273461","Security Update","NT AUTHORITY\SYSTEM"
"Server68","12/28/2019 12:00:00 AM","MSKB3798080","Security Update","NT AUTHORITY\SYSTEM"
"Server71","12/28/2019 12:00:00 AM","MSKB6694904","Update","NT AUTHORITY\SYSTEM"
"Server71","12/28/2019 12:00:00 AM","MSKB4553687","Security Update","NT AUTHORITY\SYSTEM"
"Server72","12/28/2019 12:00:00 AM","MSKB4302294","Update","NT AUTHORITY\SYSTEM"
"Server72","12/28/2019 12:00:00 AM","MSKB7670650","Security Update","NT AUTHORITY\SYSTEM"
"Server72","12/28/2019 12:00:00 AM","MSKB4675549","Update","NT AUTHORITY\SYSTEM"
"Server73","12/28/2019 12:00:00 AM","MSKB6261016","Security Update","NT AUTHORITY\SYSTEM"
"Server73","12/28/2019 12:00:00 AM","MSKB8191992","Security Update","NT AUTHORITY\SYSTEM"
"Server73","12/28/2019 12:00:00 AM","MSKB9863974","Update","NT AUTHORITY\SYSTEM"
"Server74","12/28/2019 12:00:00 AM","MSKB7028477","Security Update","NT AUTHORITY\SYSTEM"
"Server75","12/28/2019 12:00:00 AM","MSKB6914933","Security Update","NT AUTHORITY\SYSTEM"
"Server75","12/28/2019 12:00:00 AM","MSKB2335563","Security Update","NT AUTHORITY\SYSTEM"
"Server75","12/28/2019 12:00:00 AM","MSKB7246241","Update","NT AUTHORITY\SYSTEM"
"Server75","12/28/2019 12:00:00 AM","MSKB6329040","Security Update","NT AUTHORITY\SYSTEM"
"Server77","12/28/2019 12:00:00 AM","MSKB6523554","Security Update","NT AUTHORITY\SYSTEM"
"Server77","12/28/2019 12:00:00 AM","MSKB8322375","Security Update","NT AUTHORITY\SYSTEM"
"Server77","12/28/2019 12:00:00 AM","MSKB3109027","Security Update","NT AUTHORITY\SYSTEM"
"Server77","12/28/2019 12:00:00 AM","MSKB1070121","Update","NT AUTHORITY\SYSTEM"
"Server79","12/28/2019 12:00:00 AM","MSKB9145181","Update","NT AUTHORITY\SYSTEM"
"Server79","12/28/2019 12:00:00 AM","MSKB8155707","Update","NT AUTHORITY\SYSTEM"
"Server79","12/28/2019 12:00:00 AM","MSKB8681354","Update","NT AUTHORITY\SYSTEM"
"Server80","12/28/2019 12:00:00 AM","MSKB6406112","Update","NT AUTHORITY\SYSTEM"
"Server80","12/28/2019 12:00:00 AM","MSKB6270270","Security Update","NT AUTHORITY\SYSTEM"
"Server80","12/28/2019 12:00:00 AM","MSKB2165009","Update","NT AUTHORITY\SYSTEM"
"Server80","12/28/2019 12:00:00 AM","MSKB3793988","Security Update","NT AUTHORITY\SYSTEM"
"Server81","12/28/2019 12:00:00 AM","MSKB2394485","Security Update","NT AUTHORITY\SYSTEM"
"Server81","12/28/2019 12:00:00 AM","MSKB7116413","Update","NT AUTHORITY\SYSTEM"
"Server81","12/28/2019 12:00:00 AM","MSKB6748650","Update","NT AUTHORITY\SYSTEM"
"Server83","12/28/2019 12:00:00 AM","MSKB1346799","Security Update","NT AUTHORITY\SYSTEM"
"Server83","12/28/2019 12:00:00 AM","MSKB7191127","Update","NT AUTHORITY\SYSTEM"
"Server83","12/28/2019 12:00:00 AM","MSKB4857174","Update","NT AUTHORITY\SYSTEM"
"Server83","12/28/2019 12:00:00 AM","MSKB1012754","Update","NT AUTHORITY\SYSTEM"
"Server84","12/28/2019 12:00:00 AM","MSKB4484256","Update","NT AUTHORITY\SYSTEM"
"Server85","12/28/2019 12:00:00 AM","MSKB4073899","Security Update","NT AUTHORITY\SYSTEM"
"Server85","12/28/2019 12:00:00 AM","MSKB1580679","Update","NT AUTHORITY\SYSTEM"
"Server85","12/28/2019 12:00:00 AM","MSKB4866232","Security Update","NT AUTHORITY\SYSTEM"
"Server86","12/28/2019 12:00:00 AM","MSKB6982467","Security Update","NT AUTHORITY\SYSTEM"
"Server86","12/28/2019 12:00:00 AM","MSKB4366595","Security Update","NT AUTHORITY\SYSTEM"
"Server87","12/28/2019 12:00:00 AM","MSKB8602552","Security Update","NT AUTHORITY\SYSTEM"
"Server90","12/28/2019 12:00:00 AM","MSKB7655179","Update","NT AUTHORITY\SYSTEM"
"Server90","12/28/2019 12:00:00 AM","MSKB5054703","Update","NT AUTHORITY\SYSTEM"
"Server93","12/28/2019 12:00:00 AM","MSKB2409817","Security Update","NT AUTHORITY\SYSTEM"
"Server94","12/28/2019 12:00:00 AM","MSKB4587908","Security Update","NT AUTHORITY\SYSTEM"
"Server94","12/28/2019 12:00:00 AM","MSKB3899581","Update","NT AUTHORITY\SYSTEM"
"Server95","12/28/2019 12:00:00 AM","MSKB3415318","Security Update","NT AUTHORITY\SYSTEM"
"Server95","12/28/2019 12:00:00 AM","MSKB8343106","Update","NT AUTHORITY\SYSTEM"
"Server95","12/28/2019 12:00:00 AM","MSKB4134243","Update","NT AUTHORITY\SYSTEM"
"Server95","12/28/2019 12:00:00 AM","MSKB2378137","Update","NT AUTHORITY\SYSTEM"
"Server96","12/28/2019 12:00:00 AM","MSKB1277697","Update","NT AUTHORITY\SYSTEM"
"Server96","12/28/2019 12:00:00 AM","MSKB9812698","Update","NT AUTHORITY\SYSTEM"
"Server96","12/28/2019 12:00:00 AM","MSKB3437084","Security Update","NT AUTHORITY\SYSTEM"
"Server97","12/28/2019 12:00:00 AM","MSKB7227826","Security Update","NT AUTHORITY\SYSTEM"
"Server97","12/28/2019 12:00:00 AM","MSKB5142589","Update","NT AUTHORITY\SYSTEM"
"Server97","12/28/2019 12:00:00 AM","MSKB1267620","Security Update","NT AUTHORITY\SYSTEM"
"Server97","12/28/2019 12:00:00 AM","MSKB6463799","Update","NT AUTHORITY\SYSTEM"
"Server99","12/28/2019 12:00:00 AM","MSKB6981131","Update","NT AUTHORITY\SYSTEM"
"Server1","1/4/2020 12:00:00 AM","MSKB8503294","Security Update","NT AUTHORITY\SYSTEM"
"Server2","1/4/2020 12:00:00 AM","MSKB3694608","Security Update","NT AUTHORITY\SYSTEM"
"Server5","1/4/2020 12:00:00 AM","MSKB5193381","Update","NT AUTHORITY\SYSTEM"
"Server5","1/4/2020 12:00:00 AM","MSKB2404319","Security Update","NT AUTHORITY\SYSTEM"
"Server5","1/4/2020 12:00:00 AM","MSKB4433839","Update","NT AUTHORITY\SYSTEM"
"Server6","1/4/2020 12:00:00 AM","MSKB9027349","Security Update","NT AUTHORITY\SYSTEM"
"Server7","1/4/2020 12:00:00 AM","MSKB5806757","Update","NT AUTHORITY\SYSTEM"
"Server7","1/4/2020 12:00:00 AM","MSKB2901108","Security Update","NT AUTHORITY\SYSTEM"
"Server7","1/4/2020 12:00:00 AM","MSKB2511099","Update","NT AUTHORITY\SYSTEM"
"Server8","1/4/2020 12:00:00 AM","MSKB6604679","Update","NT AUTHORITY\SYSTEM"
"Server8","1/4/2020 12:00:00 AM","MSKB6980715","Security Update","NT AUTHORITY\SYSTEM"
"Server8","1/4/2020 12:00:00 AM","MSKB1499433","Update","NT AUTHORITY\SYSTEM"
"Server8","1/4/2020 12:00:00 AM","MSKB6910398","Update","NT AUTHORITY\SYSTEM"
"Server9","1/4/2020 12:00:00 AM","MSKB7489852","Security Update","NT AUTHORITY\SYSTEM"
"Server10","1/4/2020 12:00:00 AM","MSKB5641759","Update","NT AUTHORITY\SYSTEM"
"Server10","1/4/2020 12:00:00 AM","MSKB7373296","Update","NT AUTHORITY\SYSTEM"
"Server10","1/4/2020 12:00:00 AM","MSKB1258578","Security Update","NT AUTHORITY\SYSTEM"
"Server10","1/4/2020 12:00:00 AM","MSKB1286781","Security Update","NT AUTHORITY\SYSTEM"
"Server11","1/4/2020 12:00:00 AM","MSKB7104190","Update","NT AUTHORITY\SYSTEM"
"Server12","1/4/2020 12:00:00 AM","MSKB4933779","Update","NT AUTHORITY\SYSTEM"
"Server14","1/4/2020 12:00:00 AM","MSKB2558404","Security Update","NT AUTHORITY\SYSTEM"
"Server16","1/4/2020 12:00:00 AM","MSKB4006846","Update","NT AUTHORITY\SYSTEM"
"Server17","1/4/2020 12:00:00 AM","MSKB9850075","Security Update","NT AUTHORITY\SYSTEM"
"Server17","1/4/2020 12:00:00 AM","MSKB6992555","Security Update","NT AUTHORITY\SYSTEM"
"Server18","1/4/2020 12:00:00 AM","MSKB8148109","Update","NT AUTHORITY\SYSTEM"
"Server18","1/4/2020 12:00:00 AM","MSKB9075766","Update","NT AUTHORITY\SYSTEM"
"Server18","1/4/2020 12:00:00 AM","MSKB8460219","Security Update","NT AUTHORITY\SYSTEM"
"Server18","1/4/2020 12:00:00 AM","MSKB1839220","Security Update","NT AUTHORITY\SYSTEM"
"Server19","1/4/2020 12:00:00 AM","MSKB5724313","Security Update","NT AUTHORITY\SYSTEM"
"Server19","1/4/2020 12:00:00 AM","MSKB2595428","Security Update","NT AUTHORITY\SYSTEM"
"Server19","1/4/2020 12:00:00 AM","MSKB5585268","Update","NT AUTHORITY\SYSTEM"
"Server19","1/4/2020 12:00:00 AM","MSKB5897705","Security Update","NT AUTHORITY\SYSTEM"
"Server21","1/4/2020 12:00:00 AM","MSKB8457025","Update","NT AUTHORITY\SYSTEM"
"Server21","1/4/2020 12:00:00 AM","MSKB7727094","Security Update","NT AUTHORITY\SYSTEM"
"Server21","1/4/2020 12:00:00 AM","MSKB4973616","Security Update","NT AUTHORITY\SYSTEM"
"Server23","1/4/2020 12:00:00 AM","MSKB2149418","Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","MSKB9835881","Security Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","MSKB3650509","Security Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","MSKB3746718","Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","MSKB7245591","Security Update","NT AUTHORITY\SYSTEM"
"Server27","1/4/2020 12:00:00 AM","MSKB9671244","Security Update","NT AUTHORITY\SYSTEM"
"Server27","1/4/2020 12:00:00 AM","MSKB6379666","Security Update","NT AUTHORITY\SYSTEM"
"Server27","1/4/2020 12:00:00 AM","MSKB6688997","Update","NT AUTHORITY\SYSTEM"
"Server28","1/4/2020 12:00:00 AM","MSKB5320139","Security Update","NT AUTHORITY\SYSTEM"
"Server28","1/4/2020 12:00:00 AM","MSKB1290324","Update","NT AUTHORITY\SYSTEM"
"Server28","1/4/2020 12:00:00 AM","MSKB2528176","Security Update","NT AUTHORITY\SYSTEM"
"Server28","1/4/2020 12:00:00 AM","MSKB8980190","Update","NT AUTHORITY\SYSTEM"
"Server29","1/4/2020 12:00:00 AM","MSKB8665073","Update","NT AUTHORITY\SYSTEM"
"Server29","1/4/2020 12:00:00 AM","MSKB6246223","Security Update","NT AUTHORITY\SYSTEM"
"Server29","1/4/2020 12:00:00 AM","MSKB3434502","Security Update","NT AUTHORITY\SYSTEM"
"Server30","1/4/2020 12:00:00 AM","MSKB1940284","Update","NT AUTHORITY\SYSTEM"
"Server30","1/4/2020 12:00:00 AM","MSKB1875413","Security Update","NT AUTHORITY\SYSTEM"
"Server30","1/4/2020 12:00:00 AM","MSKB8911431","Security Update","NT AUTHORITY\SYSTEM"
"Server31","1/4/2020 12:00:00 AM","MSKB1797493","Update","NT AUTHORITY\SYSTEM"
"Server31","1/4/2020 12:00:00 AM","MSKB5753359","Update","NT AUTHORITY\SYSTEM"
"Server31","1/4/2020 12:00:00 AM","MSKB9330482","Update","NT AUTHORITY\SYSTEM"
"Server32","1/4/2020 12:00:00 AM","MSKB9690432","Security Update","NT AUTHORITY\SYSTEM"
"Server32","1/4/2020 12:00:00 AM","MSKB4900350","Security Update","NT AUTHORITY\SYSTEM"
"Server32","1/4/2020 12:00:00 AM","MSKB4663799","Update","NT AUTHORITY\SYSTEM"
"Server33","1/4/2020 12:00:00 AM","MSKB3414609","Security Update","NT AUTHORITY\SYSTEM"
"Server33","1/4/2020 12:00:00 AM","MSKB4679446","Security Update","NT AUTHORITY\SYSTEM"
"Server34","1/4/2020 12:00:00 AM","MSKB4869315","Security Update","NT AUTHORITY\SYSTEM"
"Server34","1/4/2020 12:00:00 AM","MSKB5565831","Update","NT AUTHORITY\SYSTEM"
"Server35","1/4/2020 12:00:00 AM","MSKB4082870","Update","NT AUTHORITY\SYSTEM"
"Server35","1/4/2020 12:00:00 AM","MSKB6565761","Update","NT AUTHORITY\SYSTEM"
"Server35","1/4/2020 12:00:00 AM","MSKB7007287","Update","NT AUTHORITY\SYSTEM"
"Server37","1/4/2020 12:00:00 AM","MSKB6749982","Update","NT AUTHORITY\SYSTEM"
"Server37","1/4/2020 12:00:00 AM","MSKB6178664","Security Update","NT AUTHORITY\SYSTEM"
"Server37","1/4/2020 12:00:00 AM","MSKB1004381","Update","NT AUTHORITY\SYSTEM"
"Server37","1/4/2020 12:00:00 AM","MSKB5997283","Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","MSKB8946508","Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","MSKB6431521","Security Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","MSKB4733429","Security Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","MSKB6763649","Security Update","NT AUTHORITY\SYSTEM"
"Server43","1/4/2020 12:00:00 AM","MSKB4875992","Security Update","NT AUTHORITY\SYSTEM"
"Server43","1/4/2020 12:00:00 AM","MSKB7145228","Update","NT AUTHORITY\SYSTEM"
"Server43","1/4/2020 12:00:00 AM","MSKB5955209","Update","NT AUTHORITY\SYSTEM"
"Server45","1/4/2020 12:00:00 AM","MSKB4831875","Update","NT AUTHORITY\SYSTEM"
